"ambient_temp_c_day_max","weight_delta_direction","precipitation_mm","wind_m_s","drought_index","humidity_proc","pressure_hPa","sun_hours"
19.3,"UP",0,4,8.7,82.6,1018.2,2.6
21.1,"UP",0,2.3,9,68.7,1017.2,9.5
24.6,"UP",0.8,2.7,9.1,71.2,1011.5,5.8
20.3,"DOWN",1.6,1.4,9.1,76.9,1014.2,9.7
27.2,"UP",0,2.7,9.4,70.2,1010.2,13.4
26.9,"UP",7.6,3.8,8.8,72.6,1009.2,11.4
17.9,"DOWN",2.6,2.2,8.6,87.7,1013.9,2
18.6,"DOWN",3.4,3.2,8.4,79.3,1014.7,2
18.2,"DOWN",0,3.6,8.6,67.4,1021.4,6.8
18.3,"UP",0,2.3,8.8,76.1,1019.5,3
21.5,"UP",1,3.8,8.8,83.4,1013.1,5.8
21.9,"UP",20.4,3.5,6.9,88.7,1011,5.4
21.1,"DOWN",3.3,2.6,6.9,77.1,1012.9,8.7
23.2,"UP",6.3,2.8,6.7,72.4,1018.3,11.8
19.9,"DOWN",7.6,3.3,6.1,80.6,1014.4,2.9
20,"DOWN",0.6,3.3,6.4,78.4,1016.9,7.8
21.8,"UP",0,2.1,6.8,74.7,1021,12.3
24.4,"UP",0.1,2.8,7.3,71.4,1017.5,11.3
25.4,"UP",2.8,2.6,7.4,73.6,1010.5,8.7
21.8,"DOWN",1.3,2.7,7.5,83.9,1007.8,5.1
19.2,"DOWN",0.6,2.8,7.7,73.9,1015.5,7.4
18.4,"UP",0,2.2,8.1,67.8,1023.8,14
20.7,"UP",0,1.2,8.6,65.5,1025.9,15.2
22.8,"UP",0,2.1,9,61.2,1027.2,13.3
26.4,"UP",0,3.1,9.3,70.9,1023.6,13.1
27.2,"UP",0,3.4,9.5,70.9,1018.4,8.7
21.1,"DOWN",0,5.1,9.7,71.7,1021.2,9.1
23.5,"UP",0,2.8,9.9,68.2,1023.1,14.3
25.4,"UP",0,3.2,10,72.3,1018.7,13.1
30,"UP",0,3.9,10,63.3,1009.6,13
